ANO;LOCALIDAD;SEXO;EDAD_QUINQUENAL;CAUSAS_667;CAUSAS_105;TOTAL_CASOS
2010;Antonio Nariño;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Antonio Nariño;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Antonio Nariño;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Antonio Nariño;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Antonio Nariño;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Barrios Unidos;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Barrios Unidos;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Barrios Unidos;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Barrios Unidos;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Barrios Unidos;Hombres;50 a 54;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Bosa;Hombres;10 a 14;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Bosa;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;21
2010;Bosa;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;22
2010;Bosa;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;22
2010;Bosa;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;17
2010;Bosa;Hombres;35 a 39;Agresiones (homicidios);Agresiones (homicidios) y secuelas;12
2010;Bosa;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;5
2010;Bosa;Hombres;45 a 49;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Bosa;Hombres;50 a 54;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Bosa;Hombres;55 a 59;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Bosa;Hombres;60 a 64;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Chapinero;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Chapinero;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;3
2010;Chapinero;Hombres;40 a 44;Agresiones (homicidios);Agresiones (homicidios) y secuelas;2
2010;Ciudad Bolívar;Hombres;0 a 4;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Ciudad Bolívar;Hombres;10 a 14;Agresiones (homicidios);Agresiones (homicidios) y secuelas;1
2010;Ciudad Bolívar;Hombres;15 a 19;Agresiones (homicidios);Agresiones (homicidios) y secuelas;22
2010;Ciudad Bolívar;Hombres;20 a 24;Agresiones (homicidios);Agresiones (homicidios) y secuelas;33
2010;Ciudad Bolívar;Hombres;25 a 29;Agresiones (homicidios);Agresiones (homicidios) y secuelas;31
2010;Ciudad Bolívar;Hombres;30 a 34;Agresiones (homicidios);Agresiones (homicidios) y secuelas;25
