cantidadProducto,fechaPedido,idClienteFK,idProductoFK
9,2026-03-20,33,17
8,2025-03-20,22,3
3,2025-11-22,8,33
4,2026-02-18,1,48
8,2025-09-26,40,19
5,2025-09-24,42,15
1,2025-03-31,34,45
10,2026-01-20,1,46
9,2025-01-20,2,36
5,2025-07-13,40,43
7,2025-09-16,20,31
3,2025-04-15,9,20
8,2025-12-07,36,28
3,2025-12-20,47,11
1,2025-08-18,9,33
1,2025-02-18,17,47
1,2025-06-20,30,45
6,2026-03-13,13,25
6,2025-12-20,7,35
2,2025-04-04,10,40
7,2026-01-24,22,41
7,2025-06-17,37,4
1,2026-01-19,9,31
9,2026-03-23,1,1
8,2025-10-16,7,27
2,2026-01-20,46,22
8,2025-08-06,12,41
8,2025-07-22,32,27
4,2025-01-10,16,32
9,2025-07-12,15,25
9,2025-10-25,17,31
6,2026-02-19,1,43
1,2026-01-06,47,50
6,2025-03-18,6,25
8,2025-09-06,9,6
3,2025-08-03,16,46
10,2025-06-04,40,5
6,2025-09-13,35,28
8,2025-03-05,29,20
5,2025-05-25,41,37
8,2025-10-07,43,13
8,2025-03-01,5,14
5,2025-03-29,22,28
8,2025-01-10,34,39
6,2025-12-08,36,29
3,2025-05-09,44,19
1,2025-04-15,14,39
4,2025-09-20,32,31
5,2025-01-28,4,32
1,2025-09-26,30,32
