nombreProducto,precioProducto,stockProducto,categoriaProducto
Memoria USB 64GB L18,39329,3,Accesorios
Audífonos Inalámbricos I14,221453,78,Periféricos
Ratón Óptico I62,41202,28,Periféricos
Disco SSD 1TB B76,124811,69,Almacenamiento
Smartwatch Sport J50,725748,138,Electrónica
Audífonos Inalámbricos W24,212807,96,Periféricos
Smartwatch Sport D99,733277,5,Electrónica
Disco SSD 1TB R54,120501,94,Almacenamiento
Teclado Mecánico G62,142604,57,Periféricos
Base Refrigerante V37,86644,148,Accesorios
Memoria USB 64GB S1,43078,63,Accesorios
Memoria USB 64GB V81,31351,58,Accesorios
"Monitor 24"" N62",458455,83,Electrónica
"Monitor 24"" D43",446557,11,Electrónica
Memoria USB 64GB D71,29728,103,Accesorios
"Pantalla Curva 27"" G10",675216,145,Electrónica
Memoria USB 64GB G24,53931,92,Accesorios
Smartwatch Sport L66,727859,144,Electrónica
Disco SSD 1TB B45,120517,138,Almacenamiento
"Pantalla Curva 27"" X28",675512,37,Electrónica
"Pantalla Curva 27"" A32",698565,59,Electrónica
"Monitor 24"" L98",457603,44,Electrónica
Disco SSD 1TB M98,118582,83,Almacenamiento
"Pantalla Curva 27"" R33",689870,41,Electrónica
Teclado Mecánico V39,150839,90,Periféricos
Teclado Mecánico P78,152840,70,Periféricos
Memoria USB 64GB A93,36172,108,Accesorios
Ultrabook X1 Y93,1247483,63,Electrónica
Base Refrigerante C38,94279,141,Accesorios
"Pantalla Curva 27"" X10",691533,103,Electrónica
Teclado Mecánico W72,142002,119,Periféricos
Teclado Mecánico N6,144477,36,Periféricos
Ultrabook X1 Q56,1267978,47,Electrónica
Teclado Mecánico U31,158914,65,Periféricos
Disco SSD 1TB H70,119037,65,Almacenamiento
Teclado Mecánico Y11,140239,83,Periféricos
Disco SSD 1TB P81,126000,19,Almacenamiento
Ratón Óptico Z74,57370,101,Periféricos
Teclado Mecánico W51,148995,97,Periféricos
Ratón Óptico U11,53245,114,Periféricos
Memoria USB 64GB X31,42530,100,Accesorios
Ratón Óptico N23,44639,12,Periféricos
Teclado Mecánico Q15,152568,100,Periféricos
"Pantalla Curva 27"" H72",693654,5,Electrónica
"Monitor 24"" B99",446277,54,Electrónica
Ratón Óptico F79,64612,79,Periféricos
Memoria USB 64GB F36,26036,41,Accesorios
Ultrabook X1 W16,1267453,19,Electrónica
"Monitor 24"" W53",465715,93,Electrónica
Teclado Mecánico G60,140401,130,Periféricos
